,code,name,ss,trade
453,610,WAI KEE HOLD     HKD   ,164000,341260
454,611,CNI 23 INT'L     HKD   ,1744000,2927940
455,612,CHINA INV FUND   HKD   ,8800,1699
456,613,YUGANG INT'L     HKD   ,22180000,1294316
457,616,EASYKNIT ENT     HKD   ,1976000,366804
458,617,PALIBURG HOLD    HKD   ,112200,294130
459,618,EC-FOUNDER       HKD   ,234000,105150
460,620,UDL HOLDINGS     HKD   ,185200,87184
461,622,ENERCHINA HOLD   HKD   ,12120350,1883436
462,623,SINOMEDIA        HKD   ,573000,2593850
463,626,PUBLIC FIN HOLD  HKD   ,44000,172500
464,628,DORE HOLDINGS    HKD   ,86043,5962
465,629,YUE DA MINING    HKD   ,109000,50175
466,631,SANY INT'L       HKD   ,14343500,53393580
467,633,CH ALL ACCESS    HKD   ,4856000,12168320
468,635,PLAYMATES        HKD   ,175200,1232830
469,637,LEE KEE          HKD   ,20000,8800
470,638,KIN YAT HOLD     HKD   ,69752,67231
471,639,SHOUGANG RES     HKD   ,25880000,84549400
472,640,INFINITY CHEM    HKD   ,1056000,439120
473,641,FONG'S IND       HKD   ,138000,263400
474,643,CARRY WEALTH     HKD   ,20000,8000
475,646,CHINA ENV TEC    HKD   ,3744000,643536
476,647,JOYCE BOUTIQUE   HKD   ,88000,47520
477,650,SHUN CHEONG      HKD   ,300000,144000
478,651,CHI O SHIPBLDG   HKD   ,3642500,303797
479,653,BONJOUR HOLD     HKD   ,12232000,14508160
480,655,HK CHINESE LTD   HKD   ,128000,186880
481,656,FOSUN INTL       HKD   ,8082500,42415201
482,657,G-VISION INT'L   HKD   ,442000,62096
483,658,C TRANSMISSION   HKD   ,13756000,50896755
484,659,NWS HOLDINGS     HKD  ,1717584,23587979
485,661,CDAYENONFER      HKD   ,3944100,999764
486,662,ASIA FINANCIAL   HKD   ,74000,251280
487,663,KING STONE ENGY  HKD   ,1694000,713345
488,665,HAITONG INT'L    HKD   ,1083909,3577255
489,666,SHK HK IND       HKD   ,392000,72196
490,668,DOWELL PPT       HKD   ,130000,112700
491,669,TECHTRONIC IND   HKD  ,9330950,179772224
492,670,CHINA EAST AIR   HKD   ,6278000,20956930
493,672,ZHONGAN REALEST  HKD   ,328200,406384
494,673,CHINA HEALTH     HKD   ,3000,945
495,677,GOLDEN RES DEV   HKD   ,456000,184680
496,678,GENTING HK       HKD   ,232000,766460
497,680,NAN HAI CORP     HKD   ,55678780,1954178
498,681,CHI PEOPLE HOLD  HKD   ,30108000,7611350
499,683,KERRY PPT        HKD  ,2706760,93313748
500,686,GOLDPOLY NEW EN  HKD   ,4712000,5847080
501,688,CHINA OVERSEAS   HKD  ,24202035,531161741
502,689,EPI (HOLDINGS)   HKD   ,16970250,3204075
503,691,SHANSHUI CEMENT  HKD   ,4352000,19937370
